key,Id,English(en)
eweight sticker,11942137856,Voltmouse Sticker
gweight sticker,78589628416,Bomb Sticker
nweight sticker,100899131392,Insaniade Sticker
tweight sticker,117508575232,Gacha Sticker
wweight sticker,132138307584,Flower Sticker
xweight sticker,146533158912,Pliers Sticker
lucky sticker,165457858560,Clover Sticker
time sticker,178984488960,Clock Sticker
gold sticker,193106710528,Goldfish Sticker
money sticker,202636169216,Money Sticker
reroll sticker,213377781760,Dice Sticker
cool sticker,229014147072,Cool Sticker
faster sticker,242100375552,Wah Sticker
fire sticker,253072674816,Flame Sticker
horse sticker,263675875328,Pony Sticker
hotrod sticker,283842088960,Lightning Sticker
active decal,322842290720768,Bomberdude Decal
ap decal,322859445424128,Octarine Decal
cooldown decal,322870845542400,Hourglass Decal
booster decal,322889828962304,Roadrunner Decal
engine decal,322903112323072,Speed Decal
smog decal,322913593888768,Smog Decal
dastardly decal,322932405342208,Mischief Decal
muttley decal,322947982987264,Cheeter Decal
nitrecon decl,322997874233344,Cookie Decal
nitro decal,323009450512384,Cursor Decal
nitrogine decal,323021022597120,Engine Decal
clockwork decal,323037862727680,Gears Decal
horse decal,323047987777536,Horse Decal
speedster decal,323086512459776,Comet Decal
wasteful decal,323098797576192,Edd Decal
cheap sticker,323117298651136,Discount Decal
engineball decal,323128535191552,8ball Decal
green decal,323379019026432,Unicorn Decal
griefer decal,323391069261824,Dynamite Decal
lame decal,323405573165056,Ship B Decal
nitroboost decal,323418143494144,F1 Decal
superengine decal,323429589749760,Thor Decal
supernitro decal,323444710215680,DD2 Decal
superwheel decal,323477199294464,Our Planet Decal
turbo decal,323488163205120,Brutal Decal
vampire decal,323501203296256,Bat Decal
versatile decal,323514037866496,Candy Decal
weight decal,323529334493184,Orange Cat Decal
engine 1,345514257059840,Dryier Engine 1
engine 2,345520540127232,Dryier Engine 2
engine 3,345534507159552,Dryier Engine 3
engine 4,345541247406080,Dryier Engine 4
hunter engine 1,345765055467520,Fan Engine 1
hunter engine 2,345770940076032,Fan Engine 2
impulse engine 1,345777265086464,Toaster Engine 1
impulse engine 2,345991833096192,Toaster Engine 2
impulse engine 3,345999831633920,Toaster Engine 3
jammed engine 1,346169797414912,Blender Engine 1
jammed engine 2,346183374376960,Blender Engine 2
jammed engine 3,346191469383680,Blender Engine 3
jammed engine 4,346199316926464,Blender Engine 4
large engine 1,346272302010368,Goldberg Engine 1
large engine 2,346277997875200,Goldberg Engine 2
lucky engine 1,346408159711232,Slots Engine 1
lucky engine 2,346414337921024,Slots Engine 2
lucky engine 3,346420948144128,Slots Engine 3
rubberband engine 1,346427692584960,Leafblower Engine 1
rubberband engine 2,346525197570048,Leafblower Engine 2
rubberband engine 3,346533053501440,Leafblower Engine 3
rubberband engine 4,346539755999232,Leafblower Engine 4
snowball engine 1,346640696119296,Evil Weasel Engine 1
snowball engine 2,346648522690560,Evil Weasel Engine 2
snowball engine 3,346657909542912,Evil Weasel Engine 3
warmup engine 1,347255417507840,Washer Engine 1
warmup engine 2,347277622153216,Washer Engine 2
active rec 1,348262411177984,Gear Clock 1
active rec 2,348269042372608,Gear Clock 2
banana peel 2,348395542581248,Banana Peel 2
banana peel 3,348403339792384,Banana Peel 3
banana peel 1,348433610084352,Banana Peel 1
blue shell 1,348658248617984,Kitchen Sink 1
blue shell 2,348686233014272,Kitchen Sink 2
emergency tank 1,349229311496192,Power Bank 1
emergency tank 2,349250228490240,Power Bank 2
engine rev 1,349453354438656,Engine App 1
engine rev 2,349458127556608,Engine App 2
grapple 1,349910369996800,Plunger Launcher 1
grapple 2,349931542843392,Plunger Launcher 2
grapple 3,349937817522176,Plunger Launcher 3
green shell 1,349986937016320,Shelly 1
green shell 2,350039311290368,Shelly 2
green shell 3,350046160588800,Shelly 3
oil can 1,350618066522112,Oma’s Gravy 1
oil can 2,350647422455808,Oma’s Gravy 2
red shell 1,350762841313280,Urchy 1
red shell 2,350769124380672,Urchy 2
red shell 3,350776170811392,Urchy 3
roadside tank 1,351499646308352,Hitch-a-hike 1
roadside tank 2,351625873887232,Hitch-a-hike 2
roadside tank 3,351633658515456,Hitch-a-hike 3
roadside tank 4,351642827264000,Hitch-a-hike 4
basic nitro 1,351824285437952,Fire Extinguisher 1
basic nitro 2,351849342210048,Fire Extinguisher 2
basic nitro 3,351858406100992,Fire Extinguisher 3
basic nitro 4,351863237939200,Fire Extinguisher 4
clicker,352153211146240,Lawnmower
compact nitro 1,352190020358144,Cola Bottle 1
compact nitro 2,352196139847680,Cola Bottle 2
compact nitro 3,352205765775360,Cola Bottle 3
compact nitro 4,352212577325056,Cola Bottle 4
cursed nitro 1,352299156148224,Cherry Boost 1
cursed nitro 2,352303501447168,Cherry Boost 2
cursed nitro 3,352310497546240,Cherry Boost 3
random nitro 1,352316730281984,Grape Madness 1
random nitro 2,352616937590784,Grape Madness 2
random nitro 3,352624189542400,Grape Madness 3
random nitro 4,352631676375040,Grape Madness 4
rival nitro 1,352727885320192,XXL Cola
snowball nitro 1,353335333785600,Super Soda 1
snowball nitro 2,353340132069376,Super Soda 2
snowball nitro 3,353347346272256,Super Soda 3
compact gastank 1,353479349407744,Potato Battery 1
compact gastank 2,353512287277056,Potato Battery 2
compact gastank 3,353518046056448,Potato Battery 3
compact gastank 4,353524354289664,Potato Battery 4
large tank 1,353915460554752,Atom Energy Lab 1
large tank 2,353923945631744,Atom Energy Lab 2
large tank 3,353927951192064,Atom Energy Lab 3
large tank 4,353932338434048,Atom Energy Lab 4
gas tank 1,354070985347072,Power Bunny 1
gas tank 2,354078031777792,Power Bunny 2
gas tank 3,354085849960448,Power Bunny 3
gas tank 4,354092221108224,Power Bunny 4
basic can 1,354375688949760,Hamster Generator 1
basic can 2,354380411736064,Hamster Generator 2
